SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1A.0B;;;;;;Pill n°2;24.00.20.3A;;;;;;Pill n°3;24.00.1A.0B;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
45;06/06/2023;18:21:11;25.74;;;;45;06/06/2023;18:22:58;25.87;;;;45;05/06/2023;18:29:47;25.27;;;;
46;06/06/2023;18:22:11;25.79;;;;46;06/06/2023;18:23:58;25.85;;;;46;05/06/2023;18:30:47;25.23;;;;
47;06/06/2023;18:23:11;25.8;;;;47;06/06/2023;18:24:58;25.85;;;;47;05/06/2023;18:31:47;25.23;;;;
48;06/06/2023;18:24:11;25.77;;;;48;06/06/2023;18:25:58;25.87;;;;48;05/06/2023;18:32:47;25.23;;;;
49;06/06/2023;18:25:11;25.77;Synchronized;;;49;06/06/2023;18:26:58;25.87;;;;49;05/06/2023;18:33:47;25.23;;;;
50;06/06/2023;18:26:11;25.77;;;;50;06/06/2023;18:27:58;25.88;;;;50;05/06/2023;18:34:47;25.27;;;;
51;06/06/2023;18:27:11;25.74;;;;51;06/06/2023;18:28:58;25.89;;;;51;05/06/2023;18:35:47;25.26;;;;
52;06/06/2023;18:28:11;25.77;;;;52;06/06/2023;18:29:58;25.91;;;;52;05/06/2023;18:36:47;25.27;;;;
53;06/06/2023;18:29:11;25.78;;;;53;06/06/2023;18:30:58;25.91;;;;53;05/06/2023;18:37:47;25.27;;;;
54;06/06/2023;18:30:11;25.78;;;;54;06/06/2023;18:31:58;25.93;;;;54;05/06/2023;18:38:47;25.25;;;;
55;06/06/2023;18:31:11;25.77;;;;55;06/06/2023;18:32:58;25.91;;;;55;05/06/2023;18:39:47;25.27;;;;
56;06/06/2023;18:32:12;25.75;;;;56;06/06/2023;18:33:57;25.93;;;;56;05/06/2023;18:40:47;25.25;;;;
57;06/06/2023;18:33:12;25.76;;;;57;06/06/2023;18:34:57;25.91;;;;57;05/06/2023;18:41:47;25.25;;;;
58;06/06/2023;18:34:12;25.76;;;;58;06/06/2023;18:35:57;25.93;;;;58;05/06/2023;18:42:47;25.29;;;;
59;06/06/2023;18:35:12;25.75;;;;59;06/06/2023;18:36:57;25.93;;;;59;05/06/2023;18:43:47;25.3;;;;
60;06/06/2023;18:36:12;25.75;;;;60;06/06/2023;18:37:57;25.93;;;;60;05/06/2023;18:44:47;25.52;;;;
61;06/06/2023;18:37:12;25.73;;;;61;06/06/2023;18:38:57;25.93;;;;61;05/06/2023;18:45:47;25.59;;;;
62;06/06/2023;18:38:12;25.73;;;;62;06/06/2023;18:39:57;25.95;;;;62;05/06/2023;18:46:47;25.56;;;;
63;06/06/2023;18:39:12;25.74;;;;63;06/06/2023;18:40:57;25.95;;;;63;05/06/2023;18:47:47;25.53;;;;
