SenseLab_M01;
Time Zone;UTC+2:00;
Monitor;80.80.12.F1;
;
Pill n°1;24.00.1A.0B;;;;;;Pill n°2;24.00.20.3A;;;;;;Pill n°3;24.00.1A.0B;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
188;06/06/2023;20:44:12;25.78;;;;188;06/06/2023;20:45:47;25.91;;;;188;05/06/2023;20:52:47;25.13;;;;
189;06/06/2023;20:45:12;25.8;;;;189;06/06/2023;20:46:47;25.88;;;;189;05/06/2023;20:53:48;25.13;;;;
190;06/06/2023;20:46:12;25.76;;;;190;06/06/2023;20:47:46;25.87;;;;190;05/06/2023;20:54:48;25.14;;;;
191;06/06/2023;20:47:12;25.77;;;;191;06/06/2023;20:48:46;25.89;;;;191;05/06/2023;20:55:48;25.12;;;;
192;06/06/2023;20:48:12;25.77;;;;192;06/06/2023;20:49:46;25.88;;;;192;05/06/2023;20:56:48;25.11;;;;
193;06/06/2023;20:49:12;25.79;;;;193;06/06/2023;20:50:46;25.86;;;;193;05/06/2023;20:57:48;25.11;;;;
194;06/06/2023;20:50:12;25.76;;;;194;06/06/2023;20:51:46;25.87;;;;194;05/06/2023;20:58:48;25.09;;;;
195;06/06/2023;20:51:12;25.75;;;;195;06/06/2023;20:52:46;25.86;;;;195;05/06/2023;20:59:48;25.1;;;;
196;06/06/2023;20:52:12;25.74;;;;196;06/06/2023;20:53:46;25.87;;;;196;05/06/2023;21:00:48;25.1;;;;
197;06/06/2023;20:53:12;25.76;;;;197;06/06/2023;20:54:46;25.87;;;;197;05/06/2023;21:01:48;25.08;;;;
198;06/06/2023;20:54:12;25.76;;;;198;06/06/2023;20:55:46;25.87;;;;198;05/06/2023;21:02:48;25.08;;;;
199;06/06/2023;20:55:12;25.77;;;;199;06/06/2023;20:56:46;25.88;;;;199;05/06/2023;21:03:48;25.07;;;;
200;06/06/2023;20:56:12;25.76;;;;200;06/06/2023;20:57:46;25.87;;;;200;05/06/2023;21:04:48;25.09;;;;
201;06/06/2023;20:57:12;25.77;;;;201;06/06/2023;20:58:46;25.87;;;;201;05/06/2023;21:05:48;25.07;;;;
202;06/06/2023;20:58:12;25.76;;;;202;06/06/2023;20:59:45;25.85;;;;202;05/06/2023;21:06:48;25.06;;;;
203;06/06/2023;20:59:12;25.75;;;;203;06/06/2023;21:00:45;25.84;;;;203;05/06/2023;21:07:48;25.03;;;;
204;06/06/2023;21:00:13;25.75;;;;204;06/06/2023;21:01:45;25.86;;;;204;05/06/2023;21:08:48;25.06;;;;
205;06/06/2023;21:01:13;25.73;;;;205;06/06/2023;21:02:45;25.84;;;;205;05/06/2023;21:09:48;25.04;;;;
206;06/06/2023;21:02:13;25.76;;;;206;06/06/2023;21:03:45;25.84;;;;206;05/06/2023;21:10:48;25.02;;;;
207;06/06/2023;21:03:13;25.73;;;;207;06/06/2023;21:04:45;25.84;Synchronized;;;207;05/06/2023;21:11:48;25.02;;;;
208;06/06/2023;21:04:13;25.73;;;;208;06/06/2023;21:05:45;25.84;;;;208;05/06/2023;21:12:48;25.04;;;;
209;06/06/2023;21:05:13;25.74;;;;209;06/06/2023;21:06:45;25.84;;;;209;05/06/2023;21:13:48;25.04;;;;
210;06/06/2023;21:06:13;25.73;;;;210;06/06/2023;21:07:45;25.85;;;;210;05/06/2023;21:14:48;25.04;;;;
211;06/06/2023;21:07:13;25.72;;;;211;06/06/2023;21:08:45;25.83;;;;211;05/06/2023;21:15:48;25.05;;;;
212;06/06/2023;21:08:13;25.73;;;;212;06/06/2023;21:09:45;25.84;;;;212;05/06/2023;21:16:48;25.02;;;;
213;06/06/2023;21:09:13;25.73;;;;213;06/06/2023;21:10:45;25.83;;;;213;05/06/2023;21:17:48;25.02;;;;
214;06/06/2023;21:10:13;25.72;;;;214;06/06/2023;21:11:44;25.84;;;;214;05/06/2023;21:18:48;25.02;;;;
215;06/06/2023;21:11:13;25.73;;;;215;06/06/2023;21:12:44;25.82;;;;215;05/06/2023;21:19:48;25.02;;;;
216;06/06/2023;21:12:13;25.73;;;;216;06/06/2023;21:13:44;25.81;;;;216;05/06/2023;21:20:48;25.01;;;;
217;06/06/2023;21:13:13;25.72;;;;217;06/06/2023;21:14:44;25.82;;;;217;05/06/2023;21:21:48;25;;;;
218;06/06/2023;21:14:13;25.72;;;;218;06/06/2023;21:15:44;25.82;;;;218;05/06/2023;21:22:48;25;;;;
219;06/06/2023;21:15:13;25.71;;;;219;06/06/2023;21:16:44;25.81;;;;219;05/06/2023;21:23:48;24.99;;;;
220;06/06/2023;21:16:13;25.71;;;;220;06/06/2023;21:17:44;25.81;;;;220;05/06/2023;21:24:48;24.98;;;;
221;06/06/2023;21:17:13;25.74;;;;221;06/06/2023;21:18:44;25.8;;;;221;05/06/2023;21:25:48;25;;;;
222;06/06/2023;21:18:13;25.7;;;;222;06/06/2023;21:19:44;25.82;;;;222;05/06/2023;21:26:48;24.98;;;;
223;06/06/2023;21:19:13;25.7;;;;223;06/06/2023;21:20:44;25.8;;;;223;05/06/2023;21:27:48;24.97;;;;
224;06/06/2023;21:20:13;25.7;;;;224;06/06/2023;21:21:44;25.79;;;;224;05/06/2023;21:28:48;24.95;;;;
225;06/06/2023;21:21:13;25.69;;;;225;06/06/2023;21:22:44;25.79;;;;225;05/06/2023;21:29:48;24.95;;;;
226;06/06/2023;21:22:13;25.72;;;;226;06/06/2023;21:23:44;25.8;;;;226;05/06/2023;21:30:48;24.98;;;;
227;06/06/2023;21:23:13;25.71;;;;227;06/06/2023;21:24:43;25.8;;;;227;05/06/2023;21:31:48;24.97;;;;
228;06/06/2023;21:24:13;25.69;;;;228;06/06/2023;21:25:43;25.8;;;;228;05/06/2023;21:32:48;24.97;;;;
229;06/06/2023;21:25:13;25.68;;;;229;06/06/2023;21:26:43;25.8;;;;229;05/06/2023;21:33:48;24.98;;;;
230;06/06/2023;21:26:13;25.67;;;;230;06/06/2023;21:27:43;25.77;;;;230;05/06/2023;21:34:48;24.97;;;;
231;06/06/2023;21:27:13;25.66;;;;231;06/06/2023;21:28:43;25.77;;;;231;05/06/2023;21:35:48;24.95;;;;
232;06/06/2023;21:28:13;25.68;;;;232;06/06/2023;21:29:43;25.8;;;;232;05/06/2023;21:36:48;24.95;;;;
233;06/06/2023;21:29:13;25.69;;;;233;06/06/2023;21:30:43;25.77;;;;233;05/06/2023;21:37:48;24.95;;;;
234;06/06/2023;21:30:13;25.66;;;;234;06/06/2023;21:31:43;25.79;;;;234;05/06/2023;21:38:48;24.95;;;;
235;06/06/2023;21:31:13;25.66;;;;235;06/06/2023;21:32:43;25.79;;;;235;05/06/2023;21:39:48;24.93;;;;
236;06/06/2023;21:32:13;25.67;Synchronized;;;236;06/06/2023;21:33:43;25.8;;;;236;05/06/2023;21:40:49;24.93;;;;
237;06/06/2023;21:33:13;25.65;;;;237;06/06/2023;21:34:43;25.77;;;;237;05/06/2023;21:41:49;24.93;;;;
238;06/06/2023;21:34:13;25.66;;;;238;06/06/2023;21:35:43;25.79;;;;238;05/06/2023;21:42:49;24.91;;;;
239;06/06/2023;21:35:13;25.67;;;;239;06/06/2023;21:36:42;25.76;;;;239;05/06/2023;21:43:49;24.91;;;;
240;06/06/2023;21:36:13;25.65;;;;240;06/06/2023;21:37:42;25.77;;;;240;05/06/2023;21:44:49;24.93;;;;
241;06/06/2023;21:37:13;25.66;;;;241;06/06/2023;21:38:42;25.75;;;;241;05/06/2023;21:45:49;24.92;;;;
242;06/06/2023;21:38:13;25.65;;;;242;06/06/2023;21:39:42;25.75;;;;242;05/06/2023;21:46:49;24.91;;;;
243;06/06/2023;21:39:13;25.66;;;;243;06/06/2023;21:40:42;25.73;;;;243;05/06/2023;21:47:49;24.92;;;;
244;06/06/2023;21:40:13;25.66;;;;244;06/06/2023;21:41:42;25.74;;;;244;05/06/2023;21:48:49;24.89;;;;
245;06/06/2023;21:41:13;25.66;;;;245;06/06/2023;21:42:42;25.74;;;;245;05/06/2023;21:49:49;24.91;;;;
246;06/06/2023;21:42:13;25.64;;;;246;06/06/2023;21:43:42;25.75;;;;246;05/06/2023;21:50:49;24.91;;;;
247;06/06/2023;21:43:13;25.64;;;;247;06/06/2023;21:44:42;25.77;;;;247;05/06/2023;21:51:49;24.91;;;;
248;06/06/2023;21:44:13;25.64;;;;248;06/06/2023;21:45:42;25.74;;;;248;05/06/2023;21:52:49;24.9;;;;
249;06/06/2023;21:45:13;25.63;;;;249;06/06/2023;21:46:42;25.73;;;;249;05/06/2023;21:53:49;24.9;;;;
250;06/06/2023;21:46:13;25.63;;;;250;06/06/2023;21:47:42;25.73;;;;250;05/06/2023;21:54:49;24.9;;;;
251;06/06/2023;21:47:14;25.63;;;;251;06/06/2023;21:48:41;25.73;;;;251;05/06/2023;21:55:49;24.89;;;;
252;06/06/2023;21:48:14;25.64;;;;252;06/06/2023;21:49:41;25.73;;;;252;05/06/2023;21:56:49;24.91;;;;
253;06/06/2023;21:49:14;25.64;;;;253;06/06/2023;21:50:41;25.73;Synchronized;;;253;05/06/2023;21:57:49;24.89;;;;
254;06/06/2023;21:50:14;25.63;;;;254;06/06/2023;21:51:41;25.73;;;;254;05/06/2023;21:58:49;24.88;;;;
255;06/06/2023;21:51:14;25.62;;;;255;06/06/2023;21:52:41;25.71;;;;255;05/06/2023;21:59:49;24.9;;;;
256;06/06/2023;21:52:14;25.63;;;;256;06/06/2023;21:53:41;25.73;;;;256;05/06/2023;22:00:49;24.88;;;;
257;06/06/2023;21:53:14;25.63;;;;257;06/06/2023;21:54:41;25.7;;;;257;05/06/2023;22:01:49;24.89;;;;
258;06/06/2023;21:54:14;25.63;;;;258;06/06/2023;21:55:41;25.73;;;;258;05/06/2023;22:02:49;24.87;;;;
259;06/06/2023;21:55:14;25.62;;;;259;06/06/2023;21:56:41;25.73;;;;259;05/06/2023;22:03:49;24.88;;;;
260;06/06/2023;21:56:14;25.63;;;;260;06/06/2023;21:57:41;25.74;;;;260;05/06/2023;22:04:49;24.9;;;;
261;06/06/2023;21:57:14;25.62;;;;261;06/06/2023;21:58:41;25.72;;;;261;05/06/2023;22:05:49;24.88;;;;
262;06/06/2023;21:58:14;25.61;;;;262;06/06/2023;21:59:41;25.72;;;;262;05/06/2023;22:06:49;24.88;;;;
263;06/06/2023;21:59:14;25.63;;;;263;06/06/2023;22:00:41;25.72;;;;263;05/06/2023;22:07:49;24.87;;;;
264;06/06/2023;22:00:14;25.61;;;;264;06/06/2023;22:01:41;25.72;;;;264;05/06/2023;22:08:49;24.87;;;;
265;06/06/2023;22:01:14;25.62;;;;265;06/06/2023;22:02:40;25.72;;;;265;05/06/2023;22:09:50;24.87;;;;
266;06/06/2023;22:02:14;25.63;;;;266;06/06/2023;22:03:40;25.72;;;;266;05/06/2023;22:10:50;24.88;;;;
267;06/06/2023;22:03:14;25.63;;;;267;06/06/2023;22:04:40;25.71;;;;267;05/06/2023;22:11:50;24.87;;;;
268;06/06/2023;22:04:14;25.62;;;;268;06/06/2023;22:05:40;25.73;;;;268;05/06/2023;22:12:50;24.86;;;;
269;06/06/2023;22:05:14;25.61;;;;269;06/06/2023;22:06:40;25.72;;;;269;05/06/2023;22:13:50;24.85;;;;
270;06/06/2023;22:06:14;25.61;;;;270;06/06/2023;22:07:40;25.71;;;;270;05/06/2023;22:14:50;24.87;;;;
271;06/06/2023;22:07:14;25.59;;;;271;06/06/2023;22:08:40;25.71;;;;271;05/06/2023;22:15:50;24.86;;;;
272;06/06/2023;22:08:14;25.59;;;;272;06/06/2023;22:09:40;25.72;;;;272;05/06/2023;22:16:50;24.85;;;;
273;06/06/2023;22:09:14;25.59;;;;273;06/06/2023;22:10:40;25.69;;;;273;05/06/2023;22:17:50;24.84;;;;
274;06/06/2023;22:10:14;25.58;;;;274;06/06/2023;22:11:40;25.72;;;;274;05/06/2023;22:18:50;24.84;;;;
275;06/06/2023;22:11:14;25.6;;;;275;06/06/2023;22:12:40;25.69;;;;275;05/06/2023;22:19:50;24.86;;;;
276;06/06/2023;22:12:14;25.58;;;;276;06/06/2023;22:13:40;25.68;;;;276;05/06/2023;22:20:50;24.83;;;;
277;06/06/2023;22:13:14;25.59;;;;277;06/06/2023;22:14:40;25.68;;;;277;05/06/2023;22:21:50;24.82;;;;
278;06/06/2023;22:14:14;25.59;;;;278;06/06/2023;22:15:40;25.7;;;;278;05/06/2023;22:22:50;24.84;;;;
279;06/06/2023;22:15:14;25.59;;;;279;06/06/2023;22:16:39;25.7;;;;279;05/06/2023;22:23:50;24.84;;;;
280;06/06/2023;22:16:14;25.58;;;;280;06/06/2023;22:17:39;25.7;;;;280;05/06/2023;22:24:50;24.84;;;;
281;06/06/2023;22:17:14;25.56;;;;281;06/06/2023;22:18:39;25.7;;;;281;05/06/2023;22:25:50;24.83;;;;
282;06/06/2023;22:18:14;25.56;;;;282;06/06/2023;22:19:39;25.7;;;;282;05/06/2023;22:26:50;24.84;;;;
283;06/06/2023;22:19:14;25.58;;;;283;06/06/2023;22:20:39;25.68;;;;283;05/06/2023;22:27:50;24.84;;;;
284;06/06/2023;22:20:14;25.59;;;;284;06/06/2023;22:21:39;25.68;;;;284;05/06/2023;22:28:50;24.83;;;;
285;06/06/2023;22:21:15;25.56;;;;285;06/06/2023;22:22:39;25.7;;;;285;05/06/2023;22:29:50;24.83;;;;
286;06/06/2023;22:22:14;25.56;;;;286;06/06/2023;22:23:39;25.68;;;;286;05/06/2023;22:30:50;24.82;;;;
287;06/06/2023;22:23:15;25.56;Synchronized;;;287;06/06/2023;22:24:39;25.69;;;;287;05/06/2023;22:31:51;24.81;;;;
288;06/06/2023;22:24:15;25.55;;;;288;06/06/2023;22:25:39;25.67;;;;288;05/06/2023;22:32:51;24.84;;;;
289;06/06/2023;22:25:15;25.55;;;;289;06/06/2023;22:26:39;25.69;;;;289;05/06/2023;22:33:51;24.81;;;;
290;06/06/2023;22:26:15;25.56;;;;290;06/06/2023;22:27:39;25.67;;;;290;05/06/2023;22:34:51;24.81;;;;
291;06/06/2023;22:27:15;25.56;;;;291;06/06/2023;22:28:39;25.66;;;;291;05/06/2023;22:35:51;24.82;;;;
292;06/06/2023;22:28:15;25.55;;;;292;06/06/2023;22:29:38;25.68;;;;292;05/06/2023;22:36:51;24.82;;;;
293;06/06/2023;22:29:15;25.55;;;;293;06/06/2023;22:30:38;25.66;;;;293;05/06/2023;22:37:51;24.81;;;;
294;06/06/2023;22:30:15;25.53;;;;294;06/06/2023;22:31:38;25.69;;;;294;05/06/2023;22:38:51;24.84;;;;
295;06/06/2023;22:31:15;25.55;;;;295;06/06/2023;22:32:38;25.66;;;;295;05/06/2023;22:39:51;24.8;;;;
296;06/06/2023;22:32:15;25.54;;;;296;06/06/2023;22:33:38;25.66;;;;296;05/06/2023;22:40:51;24.81;;;;
297;06/06/2023;22:33:15;25.53;;;;297;06/06/2023;22:34:38;25.65;;;;297;05/06/2023;22:41:51;24.8;;;;
298;06/06/2023;22:34:15;25.52;;;;298;06/06/2023;22:35:38;25.65;;;;298;05/06/2023;22:42:51;24.82;;;;
299;06/06/2023;22:35:15;25.53;;;;299;06/06/2023;22:36:38;25.65;;;;299;05/06/2023;22:43:51;24.8;;;;
300;06/06/2023;22:36:15;25.53;Synchronized;;;300;06/06/2023;22:37:38;25.65;;;;300;05/06/2023;22:44:51;24.79;;;;
301;06/06/2023;22:37:15;25.53;;;;301;06/06/2023;22:38:38;25.65;;;;301;05/06/2023;22:45:51;24.81;;;;
302;06/06/2023;22:38:15;25.54;;;;302;06/06/2023;22:39:38;25.63;;;;302;05/06/2023;22:46:51;24.81;;;;
303;06/06/2023;22:39:15;25.53;;;;303;06/06/2023;22:40:38;25.64;;;;303;05/06/2023;22:47:51;24.79;;;;
304;06/06/2023;22:40:15;25.54;;;;304;06/06/2023;22:41:38;25.64;;;;304;05/06/2023;22:48:51;24.8;;;;
305;06/06/2023;22:41:15;25.52;;;;305;06/06/2023;22:42:38;25.65;;;;305;05/06/2023;22:49:51;24.8;;;;
306;06/06/2023;22:42:15;25.53;;;;306;06/06/2023;22:43:37;25.65;;;;306;05/06/2023;22:50:51;24.8;;;;
307;06/06/2023;22:43:15;25.53;;;;307;06/06/2023;22:44:37;25.64;;;;307;05/06/2023;22:51:51;24.8;;;;
308;06/06/2023;22:44:15;25.53;;;;308;06/06/2023;22:45:37;25.63;;;;308;05/06/2023;22:52:52;24.8;;;;
309;06/06/2023;22:45:15;25.52;;;;309;06/06/2023;22:46:37;25.62;;;;309;05/06/2023;22:53:52;24.8;;;;
310;06/06/2023;22:46:15;25.52;;;;310;06/06/2023;22:47:37;25.62;;;;310;05/06/2023;22:54:52;24.78;;;;
311;06/06/2023;22:47:15;25.52;;;;311;06/06/2023;22:48:37;25.63;Synchronized;;;311;05/06/2023;22:55:52;24.79;;;;
312;06/06/2023;22:48:15;25.52;;;;312;06/06/2023;22:49:37;25.63;;;;312;05/06/2023;22:56:52;24.78;;;;
313;06/06/2023;22:49:15;25.51;;;;313;06/06/2023;22:50:37;25.63;;;;313;05/06/2023;22:57:52;24.78;;;;
314;06/06/2023;22:50:15;25.52;;;;314;06/06/2023;22:51:37;25.6;;;;314;05/06/2023;22:58:52;24.8;;;;
315;06/06/2023;22:51:15;25.5;;;;315;06/06/2023;22:52:37;25.62;;;;315;05/06/2023;22:59:52;24.78;;;;
316;06/06/2023;22:52:15;25.51;;;;316;06/06/2023;22:53:37;25.63;;;;316;05/06/2023;23:00:52;24.77;;;;
317;06/06/2023;22:53:15;25.52;;;;317;06/06/2023;22:54:37;25.62;;;;317;05/06/2023;23:01:52;24.79;;;;
318;06/06/2023;22:54:15;25.5;;;;318;06/06/2023;22:55:37;25.63;;;;318;05/06/2023;23:02:52;24.79;;;;
319;06/06/2023;22:55:15;25.49;;;;319;06/06/2023;22:56:37;25.62;;;;319;05/06/2023;23:03:52;24.78;;;;
320;06/06/2023;22:56:15;25.5;;;;320;06/06/2023;22:57:37;25.6;;;;320;05/06/2023;23:04:52;24.77;;;;
321;06/06/2023;22:57:15;25.49;;;;321;06/06/2023;22:58:36;25.6;;;;321;05/06/2023;23:05:52;24.77;;;;
322;06/06/2023;22:58:15;25.48;;;;322;06/06/2023;22:59:36;25.59;;;;322;05/06/2023;23:06:52;24.77;;;;
323;06/06/2023;22:59:15;25.5;;;;323;06/06/2023;23:00:36;25.61;;;;323;05/06/2023;23:07:52;24.77;;;;
324;06/06/2023;23:00:15;25.48;;;;324;06/06/2023;23:01:36;25.63;;;;324;05/06/2023;23:08:52;24.76;;;;
325;06/06/2023;23:01:15;25.48;;;;325;06/06/2023;23:02:36;25.63;;;;325;05/06/2023;23:09:52;24.77;;;;
326;06/06/2023;23:02:16;25.5;;;;326;06/06/2023;23:03:36;25.63;;;;326;05/06/2023;23:10:52;24.77;;;;
327;06/06/2023;23:03:16;25.51;;;;327;06/06/2023;23:04:36;25.63;;;;327;05/06/2023;23:11:52;24.76;;;;
328;06/06/2023;23:04:16;25.49;;;;328;06/06/2023;23:05:36;25.61;;;;328;05/06/2023;23:12:52;24.77;;;;
329;06/06/2023;23:05:16;25.48;;;;329;06/06/2023;23:06:36;25.59;;;;329;05/06/2023;23:13:53;24.78;;;;
330;06/06/2023;23:06:16;25.48;;;;330;06/06/2023;23:07:36;25.62;;;;330;05/06/2023;23:14:53;24.77;;;;
331;06/06/2023;23:07:16;25.49;;;;331;06/06/2023;23:08:36;25.6;;;;331;05/06/2023;23:15:53;24.75;;;;
332;06/06/2023;23:08:16;25.48;;;;332;06/06/2023;23:09:36;25.59;;;;332;05/06/2023;23:16:53;24.75;;;;
333;06/06/2023;23:09:16;25.48;;;;333;06/06/2023;23:10:36;25.63;;;;333;05/06/2023;23:17:53;24.75;;;;
334;06/06/2023;23:10:16;25.48;;;;334;06/06/2023;23:11:36;25.61;;;;334;05/06/2023;23:18:53;24.77;;;;
335;06/06/2023;23:11:16;25.48;;;;335;06/06/2023;23:12:36;25.6;;;;335;05/06/2023;23:19:53;24.75;;;;
336;06/06/2023;23:12:16;25.47;;;;336;06/06/2023;23:13:36;25.59;;;;336;05/06/2023;23:20:53;24.76;;;;
337;06/06/2023;23:13:16;25.48;;;;337;06/06/2023;23:14:35;25.59;;;;337;05/06/2023;23:21:53;24.76;;;;
338;06/06/2023;23:14:16;25.48;;;;338;06/06/2023;23:15:35;25.59;;;;338;05/06/2023;23:22:53;24.77;;;;
339;06/06/2023;23:15:16;25.48;;;;339;06/06/2023;23:16:35;25.59;;;;339;05/06/2023;23:23:53;24.77;;;;
340;06/06/2023;23:16:16;25.48;;;;340;06/06/2023;23:17:35;25.58;;;;340;05/06/2023;23:24:53;24.77;;;;
341;06/06/2023;23:17:16;25.46;;;;341;06/06/2023;23:18:35;25.58;;;;341;05/06/2023;23:25:53;24.76;;;;
342;06/06/2023;23:18:16;25.48;;;;342;06/06/2023;23:19:35;25.59;;;;342;05/06/2023;23:26:53;24.77;;;;
343;06/06/2023;23:19:16;25.48;;;;343;06/06/2023;23:20:35;25.6;;;;343;05/06/2023;23:27:53;24.75;;;;
344;06/06/2023;23:20:16;25.47;;;;344;06/06/2023;23:21:35;25.59;;;;344;05/06/2023;23:28:53;24.75;;;;
345;06/06/2023;23:21:16;25.46;;;;345;06/06/2023;23:22:35;25.58;;;;345;05/06/2023;23:29:53;24.76;;;;
346;06/06/2023;23:22:16;25.47;;;;346;06/06/2023;23:23:35;25.59;;;;346;05/06/2023;23:30:53;24.76;;;;
347;06/06/2023;23:23:16;25.45;;;;347;06/06/2023;23:24:35;25.59;;;;347;05/06/2023;23:31:53;24.75;;;;
348;06/06/2023;23:24:16;25.47;;;;348;06/06/2023;23:25:35;25.6;;;;348;05/06/2023;23:32:53;24.74;;;;
349;06/06/2023;23:25:16;25.46;;;;349;06/06/2023;23:26:35;25.59;;;;349;05/06/2023;23:33:53;24.73;;;;
350;06/06/2023;23:26:16;25.44;;;;350;06/06/2023;23:27:35;25.58;;;;350;05/06/2023;23:34:54;24.75;;;;
351;06/06/2023;23:27:16;25.44;;;;351;06/06/2023;23:28:35;25.58;;;;351;05/06/2023;23:35:54;24.76;;;;
352;06/06/2023;23:28:16;25.45;;;;352;06/06/2023;23:29:35;25.57;;;;352;05/06/2023;23:36:54;24.74;;;;
353;06/06/2023;23:29:16;25.43;;;;353;06/06/2023;23:30:34;25.58;;;;353;05/06/2023;23:37:54;24.75;;;;
354;06/06/2023;23:30:16;25.43;;;;354;06/06/2023;23:31:34;25.57;;;;354;05/06/2023;23:38:54;24.75;;;;
355;06/06/2023;23:31:16;25.44;;;;355;06/06/2023;23:32:34;25.57;;;;355;05/06/2023;23:39:54;24.75;;;;
356;06/06/2023;23:32:16;25.43;;;;356;06/06/2023;23:33:34;25.57;;;;356;05/06/2023;23:40:54;24.76;;;;
357;06/06/2023;23:33:16;25.42;;;;357;06/06/2023;23:34:34;25.57;;;;357;05/06/2023;23:41:54;24.75;;;;
358;06/06/2023;23:34:16;25.42;;;;358;06/06/2023;23:35:34;25.57;;;;358;05/06/2023;23:42:54;24.73;;;;
359;06/06/2023;23:35:16;25.43;;;;359;06/06/2023;23:36:34;25.57;;;;359;05/06/2023;23:43:54;24.75;;;;
360;06/06/2023;23:36:16;25.42;;;;360;06/06/2023;23:37:34;25.56;;;;360;05/06/2023;23:44:54;24.76;;;;
361;06/06/2023;23:37:16;25.42;;;;361;06/06/2023;23:38:34;25.55;;;;361;05/06/2023;23:45:54;24.75;;;;
362;06/06/2023;23:38:16;25.41;;;;362;06/06/2023;23:39:34;25.53;;;;362;05/06/2023;23:46:54;24.76;;;;
363;06/06/2023;23:39:16;25.41;;;;363;06/06/2023;23:40:34;25.53;;;;363;05/06/2023;23:47:54;24.73;;;;
364;06/06/2023;23:40:16;25.41;;;;364;06/06/2023;23:41:34;25.53;;;;364;05/06/2023;23:48:54;24.73;;;;
365;06/06/2023;23:41:16;25.42;;;;365;06/06/2023;23:42:34;25.55;;;;365;05/06/2023;23:49:54;24.73;;;;
366;06/06/2023;23:42:16;25.41;;;;366;06/06/2023;23:43:34;25.53;;;;366;05/06/2023;23:50:54;24.73;;;;
367;06/06/2023;23:43:16;25.41;;;;367;06/06/2023;23:44:34;25.55;;;;367;05/06/2023;23:51:54;24.75;;;;
368;06/06/2023;23:44:16;25.41;;;;368;06/06/2023;23:45:33;25.53;;;;368;05/06/2023;23:52:54;24.73;;;;
369;06/06/2023;23:45:16;25.4;;;;369;06/06/2023;23:46:33;25.55;;;;369;05/06/2023;23:53:54;24.73;;;;
370;06/06/2023;23:46:16;25.41;;;;370;06/06/2023;23:47:33;25.52;;;;370;05/06/2023;23:54:54;24.73;;;;
371;06/06/2023;23:47:16;25.41;;;;371;06/06/2023;23:48:33;25.51;;;;371;05/06/2023;23:55:55;24.74;;;;
372;06/06/2023;23:48:16;25.4;;;;372;06/06/2023;23:49:33;25.52;Synchronized;;;372;05/06/2023;23:56:55;24.73;;;;
373;06/06/2023;23:49:16;25.4;Synchronized;;;373;06/06/2023;23:50:33;25.55;;;;373;05/06/2023;23:57:55;24.75;;;;
374;06/06/2023;23:50:16;25.4;;;;374;06/06/2023;23:51:33;25.51;;;;374;05/06/2023;23:58:55;24.71;;;;
375;06/06/2023;23:51:16;25.4;;;;375;06/06/2023;23:52:33;25.53;;;;375;05/06/2023;23:59:55;24.71;;;;
376;06/06/2023;23:52:16;25.39;;;;376;06/06/2023;23:53:33;25.55;;;;376;06/06/2023;00:00:55;24.71;;;;
377;06/06/2023;23:53:16;25.4;;;;377;06/06/2023;23:54:33;25.52;;;;377;06/06/2023;00:01:55;24.7;;;;
378;06/06/2023;23:54:16;25.39;;;;378;06/06/2023;23:55:33;25.55;;;;378;06/06/2023;00:02:55;24.73;;;;
379;06/06/2023;23:55:16;25.41;;;;379;06/06/2023;23:56:33;25.52;;;;379;06/06/2023;00:03:55;24.73;;;;
380;06/06/2023;23:56:17;25.39;;;;380;06/06/2023;23:57:33;25.55;;;;380;06/06/2023;00:04:55;24.73;;;;
381;06/06/2023;23:57:17;25.41;;;;381;06/06/2023;23:58:33;25.53;;;;381;06/06/2023;00:05:55;24.71;;;;
382;06/06/2023;23:58:16;25.39;;;;382;06/06/2023;23:59:33;25.55;;;;382;06/06/2023;00:06:55;24.71;;;;
383;06/06/2023;23:59:16;25.4;;;;383;07/06/2023;00:00:33;25.53;;;;383;06/06/2023;00:07:55;24.73;;;;
384;07/06/2023;00:00:17;25.39;;;;384;07/06/2023;00:01:33;25.51;;;;384;06/06/2023;00:08:55;24.7;;;;
385;07/06/2023;00:01:16;25.39;;;;385;07/06/2023;00:02:33;25.5;;;;385;06/06/2023;00:09:55;24.7;;;;
386;07/06/2023;00:02:16;25.38;;;;386;07/06/2023;00:03:32;25.52;;;;386;06/06/2023;00:10:55;24.7;;;;
387;07/06/2023;00:03:17;25.4;;;;387;07/06/2023;00:04:32;25.51;;;;387;06/06/2023;00:11:55;24.71;;;;
388;07/06/2023;00:04:17;25.38;;;;388;07/06/2023;00:05:32;25.49;;;;388;06/06/2023;00:12:55;24.7;;;;
389;07/06/2023;00:05:16;25.38;;;;389;07/06/2023;00:06:32;25.49;;;;389;06/06/2023;00:13:55;24.7;;;;
390;07/06/2023;00:06:17;25.37;;;;390;07/06/2023;00:07:32;25.49;;;;390;06/06/2023;00:14:55;24.71;;;;
391;07/06/2023;00:07:17;25.35;;;;391;07/06/2023;00:08:32;25.5;;;;391;06/06/2023;00:15:56;24.69;;;;
392;07/06/2023;00:08:17;25.37;;;;392;07/06/2023;00:09:32;25.5;;;;392;06/06/2023;00:16:56;24.69;;;;
