arm,n_participants,HS1_adj_mean,HS1_ci_lo,HS1_ci_hi,HS2_adj_mean,HS2_ci_lo,HS2_ci_hi,delta_HS2_minus_HS1,delta_ci_lo,delta_ci_hi,p_within_arm,dz_within_arm,n_dd
FR,8,0.9566798941798922,-2.5336666115911646,4.447026399950949,2.4150132275132274,-1.0753332782578293,5.905359733284284,1.4583333333333355,-2.3845324779437798,5.301199144610451,0.44044375066682084,0.251463183235946,8
CC,6,1.391093474426802,-2.642373476898037,5.4245604257516415,-0.3033509700176311,-4.336817921342471,3.730115981307208,-1.6944444444444333,-6.131803665645338,2.7429147767564714,0.4376346034394747,-0.38699165007701486,6
