model,formula,n,aic,bic,error,delta_aic_vs_best,delta_bic_vs_best
M0_base_sex,drift ~ arm * scenario + sex_c,14,1.5393492014646455,10.864780772691073,,0.0,0.0
M1_plus_fat,drift ~ arm * scenario + sex_c + fat_pct_c,14,3.175918370386235,13.833554451787865,,1.6365691689215893,2.968773679096792
