Arm / Contrast,PRE drift (ln(ms)),POST drift (ln(ms)),Δ POST–PRE (ln(ms)),95% CI of Δ,p (paired contrast),Effect size (dz)
FR (n = 8),-0.034568341972160486,0.12332012040008629,0.15788846237224677,"[-0.05, 0.37]",0.1327203355558373,0.5489336974402906
CC (n = 6),-0.09266819470286487,-0.12940427570812835,-0.03673608100526346,"[-0.28, 0.21]",0.7562926763945694,-0.12893575837886703
FR – CC (ΔΔ),,,0.19462454337751023,"[-0.13, 0.51]",0.221072581291758,0.6793140477056877
