model,formula,n,aic,bic,error,delta_aic_vs_best,delta_bic_vs_best
M0_base_sex,drift ~ arm * scenario + sex_c,14,159.0963227995892,168.42175437081562,,0.0,0.0
M1_plus_fat,drift ~ arm * scenario + sex_c + fat_pct_c,14,160.85836523172406,171.51600131312568,,1.7620424321348764,3.0942469423100647
