Arm / Contrast,PRE drift (bpm),POST drift (bpm),Δ POST–PRE (bpm),95% CI of Δ,p (paired contrast),Effect size (dz)
FR (n = 8),-0.2255510982141546,-1.9964893306670946,-1.7709382324529401,"[-5.23, 1.69]",0.3010436393272746,-0.33480253085366574
CC (n = 6),-2.2914447188308076,2.93221837357853,5.223663092409337,"[1.23, 9.22]",0.012703022633762107,1.3659481335635533
FR – CC (ΔΔ),,,-6.994601324862278,"[-12.28, -1.71]",0.01178469227149459,-1.4774001438224347
