Arm / Contrast,PRE drift (ln(power)),POST drift (ln(power)),Δ POST–PRE (ln(power)),95% CI of Δ,p (paired contrast),Effect size (dz)
FR (n = 8),-0.138491696263545,0.2406153121083709,0.3791070083719159,"[-0.04, 0.80]",0.07627886403870687,0.6427349005707389
CC (n = 6),0.056515494391910226,-0.32890230355707223,-0.38541779794898245,"[-0.87, 0.10]",0.11581154347550648,-0.6880180327682524
FR – CC (ΔΔ),,,0.7645248063208984,"[0.12, 1.41]",0.022286676631225744,1.3234730551281941
