SenseLab_M05;
Time Zone;UTC+2:00;
Monitor;80.80.10.43;
;
Pill n°1;24.00.1A.D0;;;;;;Pill n°2;24.00.1B.19;;;;;;Pill n°3;24.00.1A.F0;;;;;;
Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;Sample number;Date (dd/mm/yyyy);Hour;Temperature (°C);Status;;;
44;12/06/2023;09:20:48;26.17;;;;44;06/06/2023;18:12:36;25.73;;;;44;06/06/2023;18:13:47;25.73;;;;
45;12/06/2023;09:21:03;26.18;;;;45;06/06/2023;18:13:36;25.71;;;;45;06/06/2023;18:14:47;25.73;;;;
46;12/06/2023;09:21:18;26.15;;;;46;06/06/2023;18:14:36;25.69;;;;46;06/06/2023;18:15:47;25.74;;;;
47;12/06/2023;09:21:33;26.14;;;;47;06/06/2023;18:15:36;25.71;;;;47;06/06/2023;18:16:47;25.74;;;;
48;12/06/2023;09:21:48;26.13;;;;48;06/06/2023;18:16:36;25.71;;;;48;06/06/2023;18:17:47;25.76;;;;
49;12/06/2023;09:22:03;26.13;;;;49;06/06/2023;18:17:36;25.67;;;;49;06/06/2023;18:18:47;25.76;;;;
50;12/06/2023;09:22:18;26.13;;;;50;06/06/2023;18:18:36;25.69;;;;50;06/06/2023;18:19:47;25.75;;;;
51;12/06/2023;09:22:33;26.1;;;;51;06/06/2023;18:19:36;25.71;;;;51;06/06/2023;18:20:46;25.8;;;;
52;12/06/2023;09:22:48;26.09;;;;52;06/06/2023;18:20:36;25.72;;;;52;06/06/2023;18:21:46;25.84;;;;
53;12/06/2023;09:23:03;26.07;;;;53;06/06/2023;18:21:36;25.76;;;;53;06/06/2023;18:22:46;25.91;;;;
54;12/06/2023;09:23:18;26.07;;;;54;06/06/2023;18:22:36;25.85;;;;54;06/06/2023;18:23:46;25.95;;;;
55;12/06/2023;09:23:33;26.03;;;;55;06/06/2023;18:23:36;25.86;;;;55;06/06/2023;18:24:46;25.95;;;;
56;12/06/2023;09:23:48;26.02;;;;56;06/06/2023;18:24:36;25.84;;;;56;06/06/2023;18:25:46;25.98;;;;
57;12/06/2023;09:24:03;26.01;;;;57;06/06/2023;18:25:36;25.82;;;;57;06/06/2023;18:26:45;25.98;;;;
58;12/06/2023;09:24:18;26;;;;58;06/06/2023;18:26:36;25.8;;;;58;06/06/2023;18:27:45;25.99;;;;
59;12/06/2023;09:24:33;25.99;;;;59;06/06/2023;18:27:36;25.85;;;;59;06/06/2023;18:28:45;26.03;;;;
60;12/06/2023;09:24:48;26;;;;60;06/06/2023;18:28:36;25.87;;;;60;06/06/2023;18:29:45;26.05;;;;
61;12/06/2023;09:25:03;25.98;;;;61;06/06/2023;18:29:36;25.87;;;;61;06/06/2023;18:30:45;26.05;;;;
62;12/06/2023;09:25:18;25.98;;;;62;06/06/2023;18:30:36;25.87;;;;62;06/06/2023;18:31:45;26.05;;;;
63;12/06/2023;09:25:33;25.98;;;;63;06/06/2023;18:31:37;25.85;Synchronized;;;63;06/06/2023;18:32:44;26.05;;;;
64;12/06/2023;09:25:48;25.99;;;;64;06/06/2023;18:32:37;25.85;;;;64;06/06/2023;18:33:44;26.05;;;;
65;12/06/2023;09:26:03;25.98;;;;65;06/06/2023;18:33:37;25.82;;;;65;06/06/2023;18:34:44;26.05;;;;
66;12/06/2023;09:26:18;25.98;;;;66;06/06/2023;18:34:37;25.81;Synchronized;;;66;06/06/2023;18:35:44;26.04;;;;
67;12/06/2023;09:26:33;25.98;;;;67;06/06/2023;18:35:37;25.81;Synchronized;;;67;06/06/2023;18:36:44;26.04;;;;
68;12/06/2023;09:26:48;25.98;;;;68;06/06/2023;18:36:37;25.79;Synchronized;;;68;06/06/2023;18:37:44;26.04;;;;
69;12/06/2023;09:27:03;25.98;;;;69;06/06/2023;18:37:37;25.79;;;;69;06/06/2023;18:38:43;26.03;;;;
70;12/06/2023;09:27:18;25.96;;;;70;06/06/2023;18:38:37;25.84;;;;70;06/06/2023;18:39:43;26.03;;;;
71;12/06/2023;09:27:33;25.95;;;;71;06/06/2023;18:39:37;25.79;;;;71;06/06/2023;18:40:43;26.03;;;;
72;12/06/2023;09:27:48;25.93;;;;72;06/06/2023;18:40:37;25.81;;;;72;06/06/2023;18:41:43;26.05;;;;
73;12/06/2023;09:28:03;25.95;;;;73;06/06/2023;18:41:37;25.81;Synchronized;;;73;06/06/2023;18:42:43;26.08;;;;
74;12/06/2023;09:28:18;25.91;;;;74;06/06/2023;18:42:37;25.82;Synchronized;;;74;06/06/2023;18:43:43;26.08;;;;
75;12/06/2023;09:28:33;25.9;;;;75;06/06/2023;18:43:37;25.82;;;;75;06/06/2023;18:44:43;26.06;Synchronized;;;
76;12/06/2023;09:28:48;25.91;;;;76;06/06/2023;18:44:37;25.85;;;;76;06/06/2023;18:45:42;26.09;Synchronized;;;
77;12/06/2023;09:29:04;25.91;;;;77;06/06/2023;18:45:37;25.84;;;;77;06/06/2023;18:46:42;26.11;;;;
78;12/06/2023;09:29:19;25.9;;;;78;06/06/2023;18:46:37;25.86;;;;78;06/06/2023;18:47:42;26.12;;;;
79;12/06/2023;09:29:34;25.91;;;;79;06/06/2023;18:47:37;25.87;Synchronized;;;79;06/06/2023;18:48:42;26.13;;;;
80;12/06/2023;09:29:49;25.9;;;;80;06/06/2023;18:48:37;25.89;;;;80;06/06/2023;18:49:42;26.13;;;;
81;12/06/2023;09:30:04;25.91;;;;81;06/06/2023;18:49:37;25.91;;;;81;06/06/2023;18:50:41;26.15;;;;
82;12/06/2023;09:30:19;25.91;;;;82;06/06/2023;18:50:37;25.92;;;;82;06/06/2023;18:51:41;26.18;;;;
83;12/06/2023;09:30:34;25.88;;;;83;06/06/2023;18:51:37;25.92;;;;83;06/06/2023;18:52:41;26.17;;;;
84;12/06/2023;09:30:49;25.9;Synchronized;;;84;06/06/2023;18:52:37;25.93;;;;84;06/06/2023;18:53:41;26.19;;;;
85;12/06/2023;09:31:04;25.9;;;;85;06/06/2023;18:53:37;25.92;;;;85;06/06/2023;18:54:41;26.18;;;;
86;12/06/2023;09:31:19;25.91;;;;86;06/06/2023;18:54:38;25.94;;;;86;06/06/2023;18:55:40;26.2;;;;
87;12/06/2023;09:31:34;25.91;;;;87;06/06/2023;18:55:38;25.91;;;;87;06/06/2023;18:56:40;26.17;;;;
88;12/06/2023;09:31:49;25.9;;;;88;06/06/2023;18:56:38;25.92;;;;88;06/06/2023;18:57:40;26.18;;;;
89;12/06/2023;09:32:04;25.96;;;;89;06/06/2023;18:57:38;25.91;Synchronized;;;89;06/06/2023;18:58:40;26.19;;;;
90;12/06/2023;09:32:19;26.13;Synchronized;;;90;06/06/2023;18:58:38;25.91;;;;90;06/06/2023;18:59:40;26.2;;;;
91;12/06/2023;09:32:34;26.38;;;;91;06/06/2023;18:59:38;25.89;;;;91;06/06/2023;19:00:40;26.2;;;;
92;12/06/2023;09:32:49;28.2;Synchronized;;;92;06/06/2023;19:00:38;25.88;;;;92;06/06/2023;19:01:39;26.19;;;;
93;12/06/2023;09:33:03;31.41;Synchronized;;;93;06/06/2023;19:01:38;25.88;;;;93;06/06/2023;19:02:39;26.2;;;;
94;12/06/2023;09:33:18;33.72;;;;94;06/06/2023;19:02:38;25.86;;;;94;06/06/2023;19:03:39;26.2;;;;
95;12/06/2023;09:33:33;35.03;;;;95;06/06/2023;19:03:38;25.84;;;;95;06/06/2023;19:04:39;26.21;;;;
96;12/06/2023;09:33:48;35.85;;;;96;06/06/2023;19:04:37;25.86;;;;96;06/06/2023;19:05:39;26.2;;;;
97;12/06/2023;09:34:03;36.41;;;;97;06/06/2023;19:05:37;25.91;;;;97;06/06/2023;19:06:38;26.17;;;;
98;12/06/2023;09:34:18;36.75;;;;98;06/06/2023;19:06:37;25.91;;;;98;06/06/2023;19:07:38;26.17;;;;
99;12/06/2023;09:34:33;36.96;;;;99;06/06/2023;19:07:37;25.96;;;;99;06/06/2023;19:08:38;26.13;;;;
100;12/06/2023;09:34:48;37.1;Synchronized;;;100;06/06/2023;19:08:38;25.94;;;;100;06/06/2023;19:09:38;26.16;;;;
101;12/06/2023;09:35:03;37.19;;;;101;06/06/2023;19:09:38;25.99;;;;101;06/06/2023;19:10:38;26.13;;;;
102;12/06/2023;09:35:18;37.27;;;;102;06/06/2023;19:10:38;25.99;;;;102;06/06/2023;19:11:38;26.13;;;;
103;12/06/2023;09:35:33;37.3;;;;103;06/06/2023;19:11:38;25.96;;;;103;06/06/2023;19:12:37;26.12;;;;
104;12/06/2023;09:35:48;37.3;;;;104;06/06/2023;19:12:38;25.99;;;;104;06/06/2023;19:13:37;26.16;;;;
105;12/06/2023;09:36:03;37.28;;;;105;06/06/2023;19:13:38;26.05;;;;105;06/06/2023;19:14:37;26.16;;;;
106;12/06/2023;09:36:18;37.27;;;;106;06/06/2023;19:14:38;26.13;;;;106;06/06/2023;19:15:37;26.18;;;;
107;12/06/2023;09:36:33;37.25;;;;107;06/06/2023;19:15:38;26.2;;;;107;06/06/2023;19:16:37;26.22;;;;
108;12/06/2023;09:36:48;37.25;;;;108;06/06/2023;19:16:39;26.16;;;;108;06/06/2023;19:17:37;26.2;;;;
109;12/06/2023;09:37:03;37.22;Synchronized;;;109;06/06/2023;19:17:39;26.15;;;;109;06/06/2023;19:18:36;26.21;;;;
110;12/06/2023;09:37:18;37.21;;;;110;06/06/2023;19:18:39;26.13;;;;110;06/06/2023;19:19:36;26.2;;;;
111;12/06/2023;09:37:33;37.2;;;;111;06/06/2023;19:19:39;26.12;;;;111;06/06/2023;19:20:36;26.2;;;;
112;12/06/2023;09:37:48;37.16;;;;112;06/06/2023;19:20:39;26.09;;;;112;06/06/2023;19:21:36;26.19;;;;
113;12/06/2023;09:38:03;37.15;;;;113;06/06/2023;19:21:39;26.05;;;;113;06/06/2023;19:22:36;26.18;;;;
114;12/06/2023;09:38:18;37.09;;;;114;06/06/2023;19:22:39;26.02;;;;114;06/06/2023;19:23:35;26.17;;;;
115;12/06/2023;09:38:33;37.04;Synchronized;;;115;06/06/2023;19:23:39;26.01;;;;115;06/06/2023;19:24:35;26.18;;;;
116;12/06/2023;09:38:48;36.96;;;;116;06/06/2023;19:24:39;26;;;;116;06/06/2023;19:25:35;26.17;;;;
117;12/06/2023;09:39:03;36.88;;;;117;06/06/2023;19:25:39;25.98;;;;117;06/06/2023;19:26:35;26.15;;;;
118;12/06/2023;09:39:18;36.87;;;;118;06/06/2023;19:26:40;25.95;;;;118;06/06/2023;19:27:35;26.13;;;;
119;12/06/2023;09:39:33;36.87;;;;119;06/06/2023;19:27:40;25.94;;;;119;06/06/2023;19:28:34;26.15;;;;
120;12/06/2023;09:39:48;36.83;;;;120;06/06/2023;19:28:40;25.95;;;;120;06/06/2023;19:29:34;26.13;;;;
