minute_start,ecg_id,Accel_LN_X_CAL,Accel_LN_Y_CAL,Accel_LN_Z_CAL,Accel_WR_X_CAL,Accel_WR_Y_CAL,Accel_WR_Z_CAL,Activity_Accel_Magnitude_CAL,Activity_Intensity_Raw_CAL,Activity_Intensity_Scaled_CAL,Activity_Percentage_Active_CAL,Activity_Percentage_Sedentary_CAL,Activity_Step_Count_CAL,AccelMag_std,HRV,source_file
2023-06-05 08:59:00+02:00,SL089,3.0444152617568765,1.9183034605146407,7.006595575497685,0.2071155729796407,1.3629700411582946,9.548642655625985,10.5705135867397,,,,,0.0,1.0214731024451171,True,HeatAcc_Session1_S6989_SL089_Activity_1min.csv
2023-06-05 09:00:00+02:00,SL089,2.842269868593731,2.5117698009257943,5.349951349413632,-0.1786899195989838,1.6649327815608874,8.360977383036632,10.505368482935786,0.0,0.0,0.0,1.0,8.0,1.1761296178469605,False,HeatAcc_Session1_S6989_SL089_Activity_1min.csv
2023-06-05 09:01:00+02:00,SL089,2.396000215575928,15.538721407824273,-1.0910438316963191,-0.9860001261854876,9.17703886388084,3.778687521004886,10.02351878513027,21.66871911073361,1.0,1.0,0.0,9.0,0.3897077871204502,False,HeatAcc_Session1_S6989_SL089_Activity_1min.csv
2023-06-05 09:02:00+02:00,SL089,2.784699131557164,15.287641876061,-3.731678221573525,-0.2629901848610843,8.998712157683345,1.9219574121804124,9.931389336061311,0.0,0.0,0.0,1.0,4.0,0.8494495450193821,False,HeatAcc_Session1_S6989_SL089_Activity_1min.csv
2023-06-05 08:48:00+02:00,SL090,-0.6501956827493426,3.12383354736134,7.8363482417958625,-1.8383736593069493,1.982274881708009,7.097053622336705,10.72184254031721,,,,,0.0,2.210744444046808,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:49:00+02:00,SL090,0.1497811611233161,1.1348709052813282,6.697568246800399,-0.7647322337704849,-0.4459304555545977,3.640543225401014,10.29760943596063,88.32760605251909,1.0,1.0,0.0,59.0,1.5740899710010523,False,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:50:00+02:00,SL090,0.8866064127027395,9.945920505656265,6.243386829312617,0.2872728398327358,9.7502728016874,2.0671573657706266,9.99008876246047,28.341817702263384,1.0,1.0,0.0,15.0,0.2156676432604291,False,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:51:00+02:00,SL090,0.9775529717521818,9.888756483152315,6.106986199539229,0.4011255153203081,9.677085466588748,1.6604058890893074,9.986033914055255,0.0,0.0,0.0,1.0,0.0,0.6520359586940782,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:52:00+02:00,SL090,1.3885897930471092,9.180795872288282,5.289304313787783,0.8826987202792572,8.774048330291137,-0.86044915786804,9.757951765138005,0.0,0.0,0.0,1.0,1.0,0.6576296009743171,False,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:53:00+02:00,SL090,1.1248202379396,9.526673387669328,5.437031778036521,0.5657170129707177,9.189186417079148,-0.4019076723184644,9.874280656246537,38.17238693415248,1.0,1.0,0.0,32.0,1.172995618687746,False,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:54:00+02:00,SL090,1.3604925909957335,9.927584925569574,5.336162294635563,0.8640603585167084,9.64645887290123,-0.7049436600537974,9.75099809522444,32.74584568499121,1.0,1.0,0.0,33.0,0.1754280525071554,False,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:55:00+02:00,SL090,1.156591535868714,9.98960567680138,5.4480581752976285,0.6189356381317735,9.732073273545163,-0.3577439456161044,9.77968249101576,0.0,0.0,0.0,1.0,0.0,0.1595068235919983,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:56:00+02:00,SL090,1.018940813684067,9.958055063377405,5.30575621280269,0.4515785603199705,9.686793646862984,-0.7871718484917272,9.740895919275612,0.0,0.0,0.0,1.0,0.0,0.1307127883499965,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:57:00+02:00,SL090,0.7083274231343156,9.82463021066786,5.118563793269749,0.0691646063182352,9.520476149978215,-1.3630507698123988,9.687783446896097,0.0,0.0,0.0,1.0,0.0,0.146726608128188,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:58:00+02:00,SL090,0.6194644681575661,9.76372459984107,4.981035021001249,-0.0434512564981179,9.434994132748328,-1.784652957141719,9.647280377563067,0.0,0.0,0.0,1.0,0.0,0.1614483854339806,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 08:59:00+02:00,SL090,0.6705103599434447,9.513015938811318,4.748080755886912,0.018496899572148,9.126118663239977,-2.496988357891267,9.589948315154237,0.0,0.0,0.0,1.0,0.0,0.3747427359781617,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 09:00:00+02:00,SL090,0.7437711166694205,9.838053306592672,5.145920814982365,0.1167332907184081,9.536526378552445,-1.265807263060741,9.697549570481993,0.0,0.0,0.0,1.0,3.0,0.1907955437832674,False,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 09:01:00+02:00,SL090,0.745962408533297,9.74092145075132,4.9718858745323775,0.1141236467128278,9.40481313410827,-1.809490702161064,9.646426202472483,0.0,0.0,0.0,1.0,0.0,0.1816377987741841,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 09:02:00+02:00,SL090,0.6085267907821545,9.82515041434896,5.046058008854581,-0.0534986320162876,9.508390560521756,-1.5831813785463278,9.66510732041066,0.0,0.0,0.0,1.0,0.0,0.1895725490174878,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 09:03:00+02:00,SL090,0.6302830285014068,9.759225798765543,5.385970261868022,-0.0252634902905889,9.463261595009552,-0.5290654527872625,9.765536494676269,0.0,0.0,0.0,1.0,0.0,0.4735102291343528,True,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
2023-06-05 09:04:00+02:00,SL090,0.7157273635909318,9.892972547817,5.950193937122348,0.0875493309870824,9.669744870233943,1.2197621607019242,9.921913323891006,0.0,0.0,0.0,1.0,2.0,0.1900135236622759,False,2306_HeatAcc_Session2_S69AF_SL090_Activity_1min.csv
